Ref,Val,Package,PosX,PosY,Rot,Side
"C2","","",16.7640,2.4765,-90.0000,bottom
"D1","","",11.4580,11.6840,0.0000,bottom
"R1","","",20.0660,11.7475,90.0000,bottom
"R2","","",17.7800,11.7475,90.0000,bottom
"R3","","",24.0665,5.8420,90.0000,bottom
"R4","","",24.0665,9.3980,90.0000,bottom
"U1","","",18.7960,7.1120,0.0000,bottom
